"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","apm:apmNumber","apm:apmYear","apm:beginningBatesNumber","apm:endingBatesNumber","apm:startImage","apm:endImage","apm:boxSequence","apm:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
337790,"GMD041910.pdf","GMD041910.pdf","All Participant Memos","APMs","All Participant Memos","","9621 - 1996","9621","1996","APMS-0002-1807","APMS-0002-1816","1","10","353","APMs","","GMD041910","1"
44851,"GMD041920.pdf","GMD041920.pdf","All Participant Memos","APMs","All Participant Memos","","9631 - 1996","9631","1996","APMS-0002-2220","APMS-0002-2220","1","1","363","APMs","","GMD041920","1"
41964,"GMD041952.pdf","GMD041952.pdf","All Participant Memos","APMs","All Participant Memos","","91-17 - 1991","91-17","1991","APMS-0003-1171","APMS-0003-1171","1","1","31","APMs","","GMD041952","1"
78610,"GMD041961.pdf","GMD041961.pdf","All Participant Memos","APMs","All Participant Memos","","92-26 - 1992","92-26","1992","APMS-0003-1320","APMS-0003-1321","1","2","40","APMs","","GMD041961","1"
3842786,"GMD041963.pdf","GMD041963.pdf","All Participant Memos","APMs","All Participant Memos","","92-24 - 1992","92-24","1992","APMS-0003-1329","APMS-0003-1413","1","86","42","APMs","","GMD041963","1"
10906,"GMD041997.pdf","GMD041997.pdf","All Participant Memos","APMs","All Participant Memos","","93-11 - 1993","93-11","1993","APMS-0003-1811","APMS-0003-1811","1","1","77","APMs","","GMD041997","1"
1256798,"GMD041998.pdf","GMD041998.pdf","All Participant Memos","APMs","All Participant Memos","","93-12 - 1993","93-12","1993","APMS-0003-1812","APMS-0003-1851","1","40","78","APMs","","GMD041998","1"
44575,"GMD042012.pdf","GMD042012.pdf","All Participant Memos","APMs","All Participant Memos","","94-4 - 1994","94-4","1994","APMS-0003-1910","APMS-0003-1910","1","1","92","APMs","","GMD042012","1"
662619,"GMD042042.pdf","GMD042042.pdf","All Participant Memos","APMs","All Participant Memos","","95-9 - 1995","95-9","1995","APMS-0003-2206","APMS-0003-2225","1","20","122","APMs","","GMD042042","1"
2115453,"GMD042045.pdf","GMD042045.pdf","All Participant Memos","APMs","All Participant Memos","","95-12 - 1995","95-12","1995","APMS-0003-2231","APMS-0003-2281","1","51","125","APMs","","GMD042045","1"
