"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:boxSequence","damsasp:department","damsasp:library","damsasp:documentType","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion","damsasp:mcdfNumber","damsasp:trustNumber","damsasp:year"
19440520,"GMD009220.pdf","GMD009220.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-084_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009220","","MCDF-0072-0215","2010-084",2010
31215309,"GMD009228.pdf","GMD009228.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-085_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009228","","MCDF-0072-0894","2010-085",2010
6872502,"GMD009236.pdf","GMD009236.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-086_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009236","","MCDF-0072-1524","2010-086",2010
13706787,"GMD009244.pdf","GMD009244.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-087_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009244","","MCDF-0072-1831","2010-087",2010
12908561,"GMD009252.pdf","GMD009252.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-088_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009252","","MCDF-0072-2293","2010-088",2010
10224008,"GMD009260.pdf","GMD009260.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-089_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009260","","MCDF-0072-2647","2010-089",2010
9221512,"GMD009268.pdf","GMD009268.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-090_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009268","","MCDF-0072-2995","2010-090",2010
28917770,"GMD009292.pdf","GMD009292.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-093_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009292","","MCDF-0072-4164","2010-093",2010
6847702,"GMD009300.pdf","GMD009300.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-094_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009300","","MCDF-0073-0079","2010-094",2010
8245790,"GMD009308.pdf","GMD009308.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-095_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009308","","MCDF-0073-0356","2010-095",2010
10046117,"GMD009316.pdf","GMD009316.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-096_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009316","","MCDF-0073-0642","2010-096",2010
8454310,"GMD009324.pdf","GMD009324.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-097_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009324","","MCDF-0073-0956","2010-097",2010
23732571,"GMD009332.pdf","GMD009332.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-098_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009332","","MCDF-0074-0254","2010-098",2010
18916347,"GMD009340.pdf","GMD009340.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-099_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009340","","MCDF-0074-0835","2010-099",2010
8890311,"GMD009348.pdf","GMD009348.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-100_08_Closing Document - Disk.pdf","","Capital Markets","","08_Closing Document - Disk","","GMD009348","","MCDF-0074-1280","2010-100",2010
11732922,"GMD009356.pdf","GMD009356.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-101_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009356","","MCDF-0074-1600","2010-101",2010
7426807,"GMD009364.pdf","GMD009364.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-102_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009364","","MCDF-0074-1958","2010-102",2010
8740193,"GMD009380.pdf","GMD009380.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-104_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009380","","MCDF-0074-2579","2010-104",2010
25526248,"GMD009388.pdf","GMD009388.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-105_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009388","","MCDF-0074-3128","2010-105",2010
7808025,"GMD009396.pdf","GMD009396.pdf","CapitalMarkets","08_Closing Document - Disk","CapitalMarkets","","2010-106_08_Closing Document - Disk","","Capital Markets","","08_Closing Document - Disk","","GMD009396","","MCDF-0074-3843","2010-106",2010
