DFILESIZE,file,filename,siteid,uploaddirectory,contenttype,containerid,cm:title,oipmroot:category,oipmroot:date,oipmroot:department,oipmroot:library,oipmroot:issuerNumber,oipmroot:issuerName,damsasp:extDocSource,damsasp:extDocId,damsasp:extDocVersion
170880,GMD018289.pdf,GMD018289.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,001_00-18  Release of Gi,MISC,,,MLTF,,,,GMD018289,1
1261729,GMD018290.pdf,GMD018290.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,001_11 8 88 DRG - Cash C,MISC,,,MLTF,,,,GMD018290,1
39208,GMD018291.pdf,GMD018291.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,001_91-22 December 19,MISC,,,MLTF,,,,GMD018291,1
2174981,GMD018292.pdf,GMD018292.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,001_93-5 April 30,MISC,,,MLTF,,,,GMD018292,1
114882,GMD018293.pdf,GMD018293.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,001_93-6 May 3,MISC,,,MLTF,,,,GMD018293,1
187713,GMD018294.pdf,GMD018294.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,"001_96-15 July 3,1996 Po",MISC,,,MLTF,,,,GMD018294,1
9379873,GMD018295.pdf,GMD018295.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,001_96-23 Amended Octobe,MISC,,,MLTF,,,,GMD018295,1
155473,GMD018296.pdf,GMD018296.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,001_98-35 Settlement Dat,MISC,,,MLTF,,,,GMD018296,1
508364,GMD018297.pdf,GMD018297.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,001_99-24 Forbearance an,MISC,,,MLTF,,,,GMD018297,1
499178,GMD018298.pdf,GMD018298.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,001_99-26 Forbearance an,MISC,,,MLTF,,,,GMD018298,1
41637,GMD018299.pdf,GMD018299.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,"001_December 17, 1987 GN",MISC,,,MLTF,,,,GMD018299,1
32347,GMD018300.pdf,GMD018300.pdf,CDs MultiFamily,CDs MultiFamily,CDs MultiFamily,,"001_December 5, 1984 All",MISC,,,MLTF,,,,GMD018300,1
