"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","damsasp:documentType","damsasp:documentCategory","damsasp:amount","damsasp:companyName","damsasp:contractNumber","damsasp:folderName","damsasp:procurementNumber","damsasp:date","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
17759040,"GMD037402.pdf","GMD037402.pdf","Procurement","Procurement","Procurement","","Countrywide Home Loans Servicing, LP - C-OPC-23289","CONT","Procurement Files",16058050,"Countrywide Home Loans Servicing, LP","C-OPC-23289","Bank of America National","","3/1/09","","GMD037402","1"
4376312,"GMD037403.pdf","GMD037403.pdf","Procurement","Procurement","Procurement","","BearingPoint, LLC - C-OPC-23033","CONT","Procurement Files",2216527.46,"BearingPoint, LLC","C-OPC-23033","BearingPoint, LLC","","7/30/07","","GMD037403","1"
4968271,"GMD037404.pdf","GMD037404.pdf","Procurement","Procurement","Procurement","","Burson-Marsteller - C-OPC-23863OPC-T0001","CONT","Procurement Files",291769.28,"Burson-Marsteller","C-OPC-23863OPC-T0001","Burson-Marsteller","","2/20/13","","GMD037404","1"
337704,"GMD037405.pdf","GMD037405.pdf","Procurement","Procurement","Procurement","","Clifton Gunderson - C-OPC-23685/T001","CONT","Procurement Files",,"Clifton Gunderson","C-OPC-23685/T001","Clifton Gunderson","","9/13/11","","GMD037405","1"
150895,"GMD037406.pdf","GMD037406.pdf","Procurement","Procurement","Procurement","","Clifton Gunderson - C-OPC-23685/T002","CONT","Procurement Files",,"Clifton Gunderson","C-OPC-23685/T002","Clifton Gunderson","","12/20/11","","GMD037406","1"
4730650,"GMD037407.pdf","GMD037407.pdf","Procurement","Procurement","Procurement","","Deloitte & Touche, LLP - GS-23F-8132H","CONT","Procurement Files",4952835,"Deloitte & Touche, LLP","GS-23F-8132H","Deloitte & Touche, LLP","","9/26/10","","GMD037407","1"
329096,"GMD037408.pdf","GMD037408.pdf","Procurement","Procurement","Procurement","","Deloitte Touche LLP - DU100G-12-C-07","CONT","Procurement Files",118142.88,"Deloitte Touche LLP","DU100G-12-C-07","Deloitte & Touche, LLP","","3/11/14","","GMD037408","1"
8940920,"GMD037409.pdf","GMD037409.pdf","Procurement","Procurement","Procurement","","Deloitte Touche LLP - DU100G-12-C-07","CONT","Procurement Files",2018082.19,"Deloitte Touche LLP","DU100G-12-C-07","Deloitte & Touche, LLP","","10/23/12","","GMD037409","1"
6817194,"GMD037410.pdf","GMD037410.pdf","Procurement","Procurement","Procurement","","FNF Servicing - C-OPC-23423","CONT","Procurement Files",49999030,"FNF Servicing","C-OPC-23423","FNF Servicing","","8/12/13","","GMD037410","1"
2030624,"GMD037411.pdf","GMD037411.pdf","Procurement","Procurement","Procurement","","Hunton and Williams LLP - C-OPC-23809","CONT","Procurement Files",13397400,"Hunton and Williams LLP","C-OPC-23809","Hunton and Williams LLP","","3/1/12","","GMD037411","1"
