siteid,title,description,visibility
oipm,OIPM,This site is for the Office of Issuer and Portfolio Management (OIPM),moderated
ocm,OCM,This site is for the Office of Capital Market (OCM),moderated
omo,OMO,This site is for the Office of Management Operations (OMO),moderated
ginnie-mae-public,Ginnie Mae Public,This site is for public Ginnie Mae content,public
opevp,OPEVP,This site is for the Office of the President and Executive Vice President (OP and EVP),moderated
ocfo,OCFO,This site is for the Office of the Chief Financial Officer (OCFO),moderated
oedts,OEDTS,This site is for the Office of Enterprise Data and Technology Solutions (OEDTS),moderated
oer,OER,This site is for the Office of Enterprise Risk (OER),moderated
oso,OSO,This site is for the Office of Securities Operations (OSO),moderated
ccr,CCR,This site is for the Communications and Congressional Relations Division (CCR),moderated
rm,rm,Records Management Site,moderated
